Date,Balance
2017-08-06,0.0
2017-08-07,0.1674088706
2017-08-08,0.05818710399
2017-08-09,-0.0981765553
2017-08-10,-0.08583235925
2017-08-11,0.1167580344
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,-0.03456037003
2017-08-15,0.009531248654
2017-08-16,-0.1799466757
2017-08-17,0.181884109
2017-08-18,0.1155757046
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.07868790238
2017-08-22,-0.07648109322
2017-08-23,0.06863336263
2017-08-24,-0.006607554462
2017-08-25,-0.2305446617
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,-0.02516283127
2017-08-29,-0.05678640128
2017-08-30,-0.100283541
2017-08-31,0.2351032517
2017-09-01,-0.2655316026
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,-0.04745869441
2017-09-05,0.1059746598
2017-09-06,0.1571907254
2017-09-07,0.2446788
2017-09-08,0.1196323099
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.2819708597
2017-09-12,-0.2117112401
2017-09-13,-0.04267765141
2017-09-14,0.1123206914
2017-09-15,0.1696754822
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,-0.03247861474
2017-09-19,0.1665036634
2017-09-20,0.09201604808
2017-09-21,0.2978683536
2017-09-22,-0.3432410557
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,-0.0092437143
2017-09-26,-0.007340099126
2017-09-27,-0.0002223484312
2017-09-28,0.5048443972
2017-09-29,0.1336820069
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,-0.2512229933
2017-10-03,-0.1231229628
2017-10-04,0.1672384748
2017-10-05,0.2375712668
2017-10-06,-0.1454015061
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,-0.02801317796
2017-10-10,0.3135953829
2017-10-11,0.0260781412
2017-10-12,0.1869930878
2017-10-13,-0.001743434914
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.2208299656
2017-10-17,-0.09678237886
2017-10-18,-0.05800783093
2017-10-19,0.132646546
2017-10-20,0.1731576209
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.001425046609
2017-10-24,0.04528835238
2017-10-25,0.1068226365
2017-10-26,-0.09009036918
2017-10-27,0.04219937893
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,-0.2806130591
2017-10-31,0.5564525791
2017-11-01,-0.5667441362
2017-11-02,0.3654260888
2017-11-03,-0.4678372936
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,-0.3913195868
2017-11-08,-0.1719451003
2017-11-09,-0.1109021993
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,-0.07415524052
2017-11-14,0.1655684186
2017-11-15,0.1428381314
2017-11-16,-0.2192010845
2017-11-17,0.02749539909
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,-0.1516569091
